Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
50,51,La K'onga,Te Mentiría,14,59,688061,España_2022_limpio.csv
51,52,"LOUTA, WOS",QUEREME,43,3,650578,España_2022_limpio.csv
52,53,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",53,1,650161,España_2022_limpio.csv
53,54,"Perro Primo, EL NOBA, R Jota, Dj Plaga, DT.Bilardo","Yendo No, Llegando",10,26,630643,España_2022_limpio.csv
54,55,Ryan Castro,Jordan,20,20,609933,España_2022_limpio.csv
55,56,"Bad Bunny, Tony Dize",La Corriente,41,9,609681,España_2022_limpio.csv
56,57,"EL NOBA, Callejero Fino, Juanka, L-Gante, Kaleb Di Masi, DT.Bilardo, DINERO EN EL BEAT",Tamo Chelo - Remix,38,5,606378,España_2022_limpio.csv
57,58,Duki,Celosa,34,2,604985,España_2022_limpio.csv
58,59,La K'onga,El Mismo Aire,16,82,580640,España_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,España_2022_limpio.csv
60,61,"Mora, Sech",TUS LÁGRIMAS,22,12,561220,España_2022_limpio.csv
61,62,"Trueno, NATHY PELUSO",ARGENTINA,39,8,558538,España_2022_limpio.csv
62,63,Anitta,Envolver,13,18,551115,España_2022_limpio.csv
63,64,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,29,43,545032,España_2022_limpio.csv
64,65,"Reik, Maria Becerra",Los Tragos,30,32,530102,España_2022_limpio.csv
65,66,Bad Bunny,Aguacero,48,9,528434,España_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,España_2022_limpio.csv
67,68,Bad Bunny,Después de la Playa,20,9,517020,España_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,España_2022_limpio.csv
69,70,Bad Bunny,Yo No Soy Celoso,25,9,509688,España_2022_limpio.csv
70,71,"Rei, Quevedo",FERNET,71,5,497591,España_2022_limpio.csv
71,72,Bad Bunny,Dos Mil 16,42,9,497502,España_2022_limpio.csv
72,73,"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",9,22,490608,España_2022_limpio.csv
73,74,Danny Ocean,Fuera del mercado,24,15,485848,España_2022_limpio.csv
74,75,"Tiago PZK, Trueno",Salimo de Noche,1,37,471961,España_2022_limpio.csv
75,76,Salastkbron,TITAN,2,32,466960,España_2022_limpio.csv
76,77,FMK,De Vacaciones,77,3,466629,España_2022_limpio.csv
77,78,Bad Bunny,Yonaguni,3,57,466283,España_2022_limpio.csv
78,79,"Callejero Fino, Four Plack",Fua Mi Amor,62,10,465183,España_2022_limpio.csv
79,80,"Emilia, Rusherking",De Enero a Diciembre,13,29,455523,España_2022_limpio.csv
80,81,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),20,40,454163,España_2022_limpio.csv
81,82,Bad Bunny,Neverita,35,9,453911,España_2022_limpio.csv
82,83,Bad Bunny,Me Fui de Vacaciones,34,9,452998,España_2022_limpio.csv
83,84,"Duki, KHEA",She Don't Give a Fo,3,128,451711,España_2022_limpio.csv
84,85,"LIT killah, De La Ghetto, L-Gante",KU',39,13,451708,España_2022_limpio.csv
85,86,"Mauri Mansilla, E.C.V",Rkteando,44,13,447669,España_2022_limpio.csv
86,87,"Duki, Emilia",Esto Recién Empieza,5,21,446719,España_2022_limpio.csv
87,88,"zzoilo, Aitana",Mon Amour - Remix,25,42,440183,España_2022_limpio.csv
88,89,La Delio Valdez,Inocente,77,77,425749,España_2022_limpio.csv
89,90,"Duki, YSY A, Rei",Pintao,23,25,416113,España_2022_limpio.csv
90,91,Paulo Londra,Chance,3,14,415367,España_2022_limpio.csv
91,92,EL NOBA,Tamo Chelo,33,45,413635,España_2022_limpio.csv
92,93,"Perro Primo, EL NOBA, Al Records",TRUCHO,26,41,411764,España_2022_limpio.csv
93,94,"Prince Royce, Maria Becerra",Te Espero,67,18,408547,España_2022_limpio.csv
94,95,"Mau y Ricky, Maria Becerra",Mal Acostumbrao - con Maria Becerra,4,44,408047,España_2022_limpio.csv
95,96,Bad Bunny,A Tu Merced,61,30,404867,España_2022_limpio.csv
96,97,"Mora, Feid",LA INOCENTE,97,8,404242,España_2022_limpio.csv
97,98,"Emilia, Duki",como si no importara,2,52,399543,España_2022_limpio.csv
98,99,Duki,TOP 5,3,32,394137,España_2022_limpio.csv
99,100,"Bad Bunny, Buscabulla",Andrea,63,9,390604,España_2022_limpio.csv
100,101,Manuel Turizo,La Bachata,101,4,389273,España_2022_limpio.csv
101,102,Rauw Alejandro,Todo De Ti,1,59,388477,España_2022_limpio.csv
102,103,"Tiago PZK, LIT killah",Entre Nosotros,1,52,386937,España_2022_limpio.csv
103,104,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,50,45,386441,España_2022_limpio.csv
104,105,C. Tangana,Demasiadas Mujeres,31,21,371722,España_2022_limpio.csv
105,106,RYH,MDQ,75,10,369995,España_2022_limpio.csv
106,107,"J Balvin, Maria Becerra",Qué Más Pues?,2,58,367362,España_2022_limpio.csv
107,108,Salastkbron,TURROMANTIKO,28,23,365047,España_2022_limpio.csv
108,109,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,19,36,363678,España_2022_limpio.csv
109,110,Bad Bunny,Un Coco,56,9,358381,España_2022_limpio.csv
110,111,Sebastian Yatra,Tacones Rojos,21,37,355730,España_2022_limpio.csv
111,112,Lasso,Ojos Marrones,112,1,351578,España_2022_limpio.csv
112,113,"Rusherking, Maria Becerra",Antes de Ti,1,39,350835,España_2022_limpio.csv
113,114,"Callejero Fino, L-Gante, ECKO, Kaleb Di Masi, Fili Wey, Homer El Mero Mero, John C, Papichamp",Pa Tra Rkt - Remix,31,15,349866,España_2022_limpio.csv
114,115,"FMK, Tiago PZK, Mau y Ricky",Prende la Cámara RMX,47,34,343447,España_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,España_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,España_2022_limpio.csv
117,118,"DJ Tao, EL NOBA, DT.Bilardo",EL NOBA | DJ TAO Turreo Sessions #7,67,12,339451,España_2022_limpio.csv
118,119,"TINI, Morat",Consejo de Amor (feat. Morat),57,100,337500,España_2022_limpio.csv
119,120,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,26,54,336720,España_2022_limpio.csv
120,121,Bad Bunny,Un Verano Sin Ti,45,9,335653,España_2022_limpio.csv
121,122,NATHY PELUSO,VIVIR ASÍ ES MORIR DE AMOR,24,30,331950,España_2022_limpio.csv
122,123,Natalie Perez,Detox,66,43,330320,España_2022_limpio.csv
123,124,"Sael, Emilia",Q-Lito,124,1,328932,España_2022_limpio.csv
124,125,"Alejo Isakk, Omar Varela",Diablona,95,9,328853,España_2022_limpio.csv
125,126,Bad Bunny,Enséñame a Bailar,49,9,328293,España_2022_limpio.csv
126,127,Camilo,Pegao,109,7,328012,España_2022_limpio.csv
127,128,"Bad Bunny, Tainy",Callaita,2,73,324779,España_2022_limpio.csv
128,129,La K'onga,Te perdiste mi amor,71,29,323752,España_2022_limpio.csv
129,130,Ingratax,París,13,50,323629,España_2022_limpio.csv
130,131,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,30,15,323524,España_2022_limpio.csv
131,132,Airbag,Por Mil Noches,69,129,322531,España_2022_limpio.csv
132,133,"Maluma, Chencho Corleone",Nos Comemos Vivos,133,4,322471,España_2022_limpio.csv
133,134,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),130,2,320509,España_2022_limpio.csv
134,135,Zion & Lennox,Yo Voy (feat. Daddy Yankee),102,19,319705,España_2022_limpio.csv
135,136,"Alan Gomez, Mesita",MESITA | Mission 05,21,35,319570,España_2022_limpio.csv
136,137,WOS,MELÓN VINO,7,119,317566,España_2022_limpio.csv
137,138,"MYA, TINI, Duki",2:50 Remix,1,55,315108,España_2022_limpio.csv
138,139,Trueno,DANCE CRIP,3,33,314357,España_2022_limpio.csv
139,140,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,58,233,312407,España_2022_limpio.csv
140,141,"Aitana, Nicki Nicole",Formentera,126,28,311145,España_2022_limpio.csv
141,142,"Migrantes, FABRO, Rei, Nico Valdi",Superclásico,123,6,310285,España_2022_limpio.csv
142,143,No Te Va Gustar,A las Nueve,99,184,307574,España_2022_limpio.csv
143,144,Lali,Disciplina,83,10,306591,España_2022_limpio.csv
144,145,"Eladio Carrion, Nicki Nicole",Nota,78,7,303950,España_2022_limpio.csv
145,146,"Camila Cabello, Maria Becerra",Hasta Los Dientes,80,13,303639,España_2022_limpio.csv
146,147,"Alejo, Feid, ROBI",Pantysito,70,15,302824,España_2022_limpio.csv
147,148,"TINI, Manuel Turizo",Maldita Foto,12,46,302581,España_2022_limpio.csv
148,149,LIT killah,La Trampa es Ley,2,21,301971,España_2022_limpio.csv
149,150,"Duki, Mora",Amor Bipolar,62,2,301295,España_2022_limpio.csv
150,151,Intoxicados,Nunca quise,68,284,299765,España_2022_limpio.csv
151,152,"Mora, Bad Bunny, Sech",Volando - Remix,15,52,297563,España_2022_limpio.csv
152,153,Joji,Glimpse of Us,108,3,294985,España_2022_limpio.csv
153,154,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,3,37,294426,España_2022_limpio.csv
154,155,"Callejero Fino, Alejo Isakk, Locura Mix",Chetos Vs. Turros,98,12,291626,España_2022_limpio.csv
155,156,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),56,59,289130,España_2022_limpio.csv
156,157,"NATTI NATASHA, Daddy Yankee, Wisin & Yandel",Mayor Que Usted,157,2,288983,España_2022_limpio.csv
157,158,"MYA, Emilia",BB,5,32,287148,España_2022_limpio.csv
158,159,"Sebastian Yatra, Myke Towers",Pareja Del Año,2,64,286831,España_2022_limpio.csv
159,160,"Bad Bunny, The Marías",Otro Atardecer,60,9,284538,España_2022_limpio.csv
160,161,YSY A,Vamo a Darle,80,10,281707,España_2022_limpio.csv
161,162,"J Balvin, Bad Bunny",LA CANCIÓN,7,92,280429,España_2022_limpio.csv
162,163,Maria Becerra,Mi Debilidad,3,49,280366,España_2022_limpio.csv
163,164,"Emilia, Tiago PZK",rápido lento,2,40,278440,España_2022_limpio.csv
164,165,Morat,No Se Va,154,8,278094,España_2022_limpio.csv
165,166,j-hope,MORE,166,1,274133,España_2022_limpio.csv
166,167,Harry Styles,Watermelon Sugar,17,121,272521,España_2022_limpio.csv
167,168,"Tirri La Roca, Brisa La Roca",Frontea,168,2,271775,España_2022_limpio.csv
168,169,La K'onga,Convénceme,131,22,270650,España_2022_limpio.csv
169,170,Natalia Lafourcade,Hasta la Raíz,66,35,268150,España_2022_limpio.csv
170,171,"Kaleb Di Masi, Salastkbron, Alejo Isakk, Omar Varela",P rreo,50,19,266323,España_2022_limpio.csv
171,172,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),84,18,264970,España_2022_limpio.csv
172,173,No Te Va Gustar,Ese Maldito Momento,131,39,262279,España_2022_limpio.csv
173,174,Maluma,Sobrio,22,52,262169,España_2022_limpio.csv
174,175,"Maria Becerra, Becky G",Wow Wow (feat. Becky G),1,45,260242,España_2022_limpio.csv
175,176,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,1,70,260218,España_2022_limpio.csv
176,177,Harry Styles,Late Night Talking,32,7,258944,España_2022_limpio.csv
177,178,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2,56,258941,España_2022_limpio.csv
178,179,"Rusherking, Tiago PZK",NOW,8,22,258503,España_2022_limpio.csv
179,180,WOS,ALMA DINAMITA,28,33,256982,España_2022_limpio.csv
180,181,Metallica,Master Of Puppets,181,1,255392,España_2022_limpio.csv
181,182,"Bad Bunny, Jhayco",DÁKITI,1,87,255004,España_2022_limpio.csv
182,183,Turf,Pasos Al Costado,105,228,254788,España_2022_limpio.csv
183,184,"Tiësto, KAROL G",Don't Be Shy,71,46,253911,España_2022_limpio.csv
184,185,"Kaleb Di Masi, Alejo Isakk, Omar Varela",Red Bull Red Label,185,1,253289,España_2022_limpio.csv
185,186,Rauw Alejandro,Cúrame,9,50,252639,España_2022_limpio.csv
186,187,TINI,Acércate,84,8,251585,España_2022_limpio.csv
187,188,Plan B,Es un Secreto,188,1,251533,España_2022_limpio.csv
188,189,"Alejandro Lerner, Rusherking",Después De Ti,126,7,251365,España_2022_limpio.csv
189,190,Ke Personajes,Cómo estás,25,153,250339,España_2022_limpio.csv
190,191,"Duki, Bizarrap",Malbec,10,43,250312,España_2022_limpio.csv
191,192,Ciro y los Persas,Me Gusta,71,283,248155,España_2022_limpio.csv
192,193,Paulo Londra,Tal Vez,1,138,247534,España_2022_limpio.csv
193,194,"TINI, Becky G, Anitta",La Loto,194,1,246132,España_2022_limpio.csv
194,195,Coldplay,Yellow,145,14,245915,España_2022_limpio.csv
195,196,The Police,Every Breath You Take,140,76,244121,España_2022_limpio.csv
196,197,"Alvaro Diaz, Rauw Alejandro",Problemón,35,23,243329,España_2022_limpio.csv
197,198,Paloma Faith,Only Love Can Hurt Like This,192,2,242978,España_2022_limpio.csv
198,199,Bad Bunny,El Apagón,69,9,242815,España_2022_limpio.csv
199,200,FMK,Gatas,117,7,241807,España_2022_limpio.csv
0,1,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,1,9,2448167,Global_2022_limpio.csv
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,9,2428541,Global_2022_limpio.csv
2,3,TINI,La Triple T,1,9,2274392,Global_2022_limpio.csv
3,4,Maria Becerra,OJALÁ,2,6,2273286,Global_2022_limpio.csv
4,5,"Shakira, Rauw Alejandro",Te Felicito,3,11,2167614,Global_2022_limpio.csv
5,6,Bad Bunny,Tití Me Preguntó,6,9,2163518,Global_2022_limpio.csv
6,7,Bad Bunny,Moscow Mule,1,9,2024486,Global_2022_limpio.csv
7,8,Bad Bunny,Efecto,8,9,1751991,Global_2022_limpio.csv
8,9,Duki,Antes de Perderte,7,5,1577188,Global_2022_limpio.csv
9,10,KAROL G,PROVENZA,9,11,1463782,Global_2022_limpio.csv
10,11,"Sofía Reyes, Maria Becerra",Marte,2,21,1430274,Global_2022_limpio.csv
11,12,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),9,5,1422964,Global_2022_limpio.csv
12,13,"Emilia, Nicki Nicole",intoxicao,11,6,1382403,Global_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Global_2022_limpio.csv
14,15,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",14,4,1308099,Global_2022_limpio.csv
15,16,"Emanero, FMK, Rusherking, Estani",BANDIDO,15,6,1278974,Global_2022_limpio.csv
16,17,"Rei, Callejero Fino",Tu Turrito,17,9,1260143,Global_2022_limpio.csv
17,18,Paulo Londra,Luces,18,1,1228322,Global_2022_limpio.csv
18,19,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,2,14,1190350,Global_2022_limpio.csv
19,20,Emilia,cuatro veinte,4,15,1159603,Global_2022_limpio.csv
20,21,WOS,ARRANCARMELO,2,14,1153126,Global_2022_limpio.csv
21,22,"Rauw Alejandro, Chencho Corleone",Desesperados,1,30,1113190,Global_2022_limpio.csv
22,23,"Bad Bunny, Jhayco",Tarot,17,9,1061855,Global_2022_limpio.csv
23,24,"La K'onga, Nahuel Pennisi",Universo Paralelo,2,34,1051039,Global_2022_limpio.csv
24,25,"Luck Ra, Rusherking",Te Mentiría Remix,13,10,1045743,Global_2022_limpio.csv
25,26,Lali,N5,26,2,1018984,Global_2022_limpio.csv
26,27,"Cazzu, Maria Becerra",Maléfica,20,7,1017024,Global_2022_limpio.csv
27,28,Paulo Londra,Nublado,28,1,999019,Global_2022_limpio.csv
28,29,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",1,28,988055,Global_2022_limpio.csv
29,30,"TINI, Beéle",Fantasi,5,20,974712,Global_2022_limpio.csv
30,31,"Los Ángeles Azules, Nicki Nicole",Otra Noche,10,34,964185,Global_2022_limpio.csv
31,32,"Bad Bunny, Rauw Alejandro",Party,17,9,963809,Global_2022_limpio.csv
32,33,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),32,7,930772,Global_2022_limpio.csv
33,34,TINI,Carne y Hueso,13,7,916477,Global_2022_limpio.csv
34,35,"Becky G, KAROL G",MAMIII,10,21,900172,Global_2022_limpio.csv
35,36,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],1,27,880597,Global_2022_limpio.csv
36,37,Harry Styles,As It Was,6,14,849937,Global_2022_limpio.csv
37,38,Kate Bush,Running Up That Hill (A Deal With God),38,6,818514,Global_2022_limpio.csv
38,39,"Zion & Lennox, Maria Becerra",Berlin,39,1,816377,Global_2022_limpio.csv
39,40,"TINI, Maria Becerra",Miénteme,1,62,789241,Global_2022_limpio.csv
40,41,Maria Becerra,Felices x Siempre,11,20,784587,Global_2022_limpio.csv
41,42,"FMK, Maria Becerra",Tranquila,3,25,777418,Global_2022_limpio.csv
42,43,Paulo Londra,Plan A,1,16,776671,Global_2022_limpio.csv
43,44,"Oscu, Nobeat",Numero 1,22,14,775600,Global_2022_limpio.csv
44,45,Duki,Perreo Bendito,25,2,775272,Global_2022_limpio.csv
45,46,"TINI, L-Gante",Bar,1,34,775166,Global_2022_limpio.csv
46,47,"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",1,11,757596,Global_2022_limpio.csv
47,48,"Morat, Duki",París,26,7,742887,Global_2022_limpio.csv
48,49,Bad Bunny,Un Ratito,23,9,711124,Global_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Global_2022_limpio.csv
50,51,La K'onga,Te Mentiría,14,59,688061,Global_2022_limpio.csv
51,52,"LOUTA, WOS",QUEREME,43,3,650578,Global_2022_limpio.csv
52,53,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",53,1,650161,Global_2022_limpio.csv
53,54,"Perro Primo, EL NOBA, R Jota, Dj Plaga, DT.Bilardo","Yendo No, Llegando",10,26,630643,Global_2022_limpio.csv
54,55,Ryan Castro,Jordan,20,20,609933,Global_2022_limpio.csv
55,56,"Bad Bunny, Tony Dize",La Corriente,41,9,609681,Global_2022_limpio.csv
56,57,"EL NOBA, Callejero Fino, Juanka, L-Gante, Kaleb Di Masi, DT.Bilardo, DINERO EN EL BEAT",Tamo Chelo - Remix,38,5,606378,Global_2022_limpio.csv
57,58,Duki,Celosa,34,2,604985,Global_2022_limpio.csv
58,59,La K'onga,El Mismo Aire,16,82,580640,Global_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Global_2022_limpio.csv
60,61,"Mora, Sech",TUS LÁGRIMAS,22,12,561220,Global_2022_limpio.csv
61,62,"Trueno, NATHY PELUSO",ARGENTINA,39,8,558538,Global_2022_limpio.csv
62,63,Anitta,Envolver,13,18,551115,Global_2022_limpio.csv
63,64,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,29,43,545032,Global_2022_limpio.csv
64,65,"Reik, Maria Becerra",Los Tragos,30,32,530102,Global_2022_limpio.csv
65,66,Bad Bunny,Aguacero,48,9,528434,Global_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Global_2022_limpio.csv
67,68,Bad Bunny,Después de la Playa,20,9,517020,Global_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Global_2022_limpio.csv
69,70,Bad Bunny,Yo No Soy Celoso,25,9,509688,Global_2022_limpio.csv
70,71,"Rei, Quevedo",FERNET,71,5,497591,Global_2022_limpio.csv
71,72,Bad Bunny,Dos Mil 16,42,9,497502,Global_2022_limpio.csv
72,73,"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",9,22,490608,Global_2022_limpio.csv
73,74,Danny Ocean,Fuera del mercado,24,15,485848,Global_2022_limpio.csv
74,75,"Tiago PZK, Trueno",Salimo de Noche,1,37,471961,Global_2022_limpio.csv
75,76,Salastkbron,TITAN,2,32,466960,Global_2022_limpio.csv
76,77,FMK,De Vacaciones,77,3,466629,Global_2022_limpio.csv
77,78,Bad Bunny,Yonaguni,3,57,466283,Global_2022_limpio.csv
78,79,"Callejero Fino, Four Plack",Fua Mi Amor,62,10,465183,Global_2022_limpio.csv
79,80,"Emilia, Rusherking",De Enero a Diciembre,13,29,455523,Global_2022_limpio.csv
80,81,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),20,40,454163,Global_2022_limpio.csv
81,82,Bad Bunny,Neverita,35,9,453911,Global_2022_limpio.csv
82,83,Bad Bunny,Me Fui de Vacaciones,34,9,452998,Global_2022_limpio.csv
83,84,"Duki, KHEA",She Don't Give a Fo,3,128,451711,Global_2022_limpio.csv
84,85,"LIT killah, De La Ghetto, L-Gante",KU',39,13,451708,Global_2022_limpio.csv
85,86,"Mauri Mansilla, E.C.V",Rkteando,44,13,447669,Global_2022_limpio.csv
86,87,"Duki, Emilia",Esto Recién Empieza,5,21,446719,Global_2022_limpio.csv
87,88,"zzoilo, Aitana",Mon Amour - Remix,25,42,440183,Global_2022_limpio.csv
88,89,La Delio Valdez,Inocente,77,77,425749,Global_2022_limpio.csv
89,90,"Duki, YSY A, Rei",Pintao,23,25,416113,Global_2022_limpio.csv
90,91,Paulo Londra,Chance,3,14,415367,Global_2022_limpio.csv
91,92,EL NOBA,Tamo Chelo,33,45,413635,Global_2022_limpio.csv
92,93,"Perro Primo, EL NOBA, Al Records",TRUCHO,26,41,411764,Global_2022_limpio.csv
93,94,"Prince Royce, Maria Becerra",Te Espero,67,18,408547,Global_2022_limpio.csv
94,95,"Mau y Ricky, Maria Becerra",Mal Acostumbrao - con Maria Becerra,4,44,408047,Global_2022_limpio.csv
95,96,Bad Bunny,A Tu Merced,61,30,404867,Global_2022_limpio.csv
96,97,"Mora, Feid",LA INOCENTE,97,8,404242,Global_2022_limpio.csv
97,98,"Emilia, Duki",como si no importara,2,52,399543,Global_2022_limpio.csv
98,99,Duki,TOP 5,3,32,394137,Global_2022_limpio.csv
99,100,"Bad Bunny, Buscabulla",Andrea,63,9,390604,Global_2022_limpio.csv
100,101,Manuel Turizo,La Bachata,101,4,389273,Global_2022_limpio.csv
101,102,Rauw Alejandro,Todo De Ti,1,59,388477,Global_2022_limpio.csv
102,103,"Tiago PZK, LIT killah",Entre Nosotros,1,52,386937,Global_2022_limpio.csv
103,104,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,50,45,386441,Global_2022_limpio.csv
104,105,C. Tangana,Demasiadas Mujeres,31,21,371722,Global_2022_limpio.csv
105,106,RYH,MDQ,75,10,369995,Global_2022_limpio.csv
106,107,"J Balvin, Maria Becerra",Qué Más Pues?,2,58,367362,Global_2022_limpio.csv
107,108,Salastkbron,TURROMANTIKO,28,23,365047,Global_2022_limpio.csv
108,109,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,19,36,363678,Global_2022_limpio.csv
109,110,Bad Bunny,Un Coco,56,9,358381,Global_2022_limpio.csv
110,111,Sebastian Yatra,Tacones Rojos,21,37,355730,Global_2022_limpio.csv
111,112,Lasso,Ojos Marrones,112,1,351578,Global_2022_limpio.csv
112,113,"Rusherking, Maria Becerra",Antes de Ti,1,39,350835,Global_2022_limpio.csv
113,114,"Callejero Fino, L-Gante, ECKO, Kaleb Di Masi, Fili Wey, Homer El Mero Mero, John C, Papichamp",Pa Tra Rkt - Remix,31,15,349866,Global_2022_limpio.csv
114,115,"FMK, Tiago PZK, Mau y Ricky",Prende la Cámara RMX,47,34,343447,Global_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,Global_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Global_2022_limpio.csv
117,118,"DJ Tao, EL NOBA, DT.Bilardo",EL NOBA | DJ TAO Turreo Sessions #7,67,12,339451,Global_2022_limpio.csv
118,119,"TINI, Morat",Consejo de Amor (feat. Morat),57,100,337500,Global_2022_limpio.csv
119,120,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,26,54,336720,Global_2022_limpio.csv
120,121,Bad Bunny,Un Verano Sin Ti,45,9,335653,Global_2022_limpio.csv
121,122,NATHY PELUSO,VIVIR ASÍ ES MORIR DE AMOR,24,30,331950,Global_2022_limpio.csv
122,123,Natalie Perez,Detox,66,43,330320,Global_2022_limpio.csv
123,124,"Sael, Emilia",Q-Lito,124,1,328932,Global_2022_limpio.csv
124,125,"Alejo Isakk, Omar Varela",Diablona,95,9,328853,Global_2022_limpio.csv
125,126,Bad Bunny,Enséñame a Bailar,49,9,328293,Global_2022_limpio.csv
126,127,Camilo,Pegao,109,7,328012,Global_2022_limpio.csv
127,128,"Bad Bunny, Tainy",Callaita,2,73,324779,Global_2022_limpio.csv
128,129,La K'onga,Te perdiste mi amor,71,29,323752,Global_2022_limpio.csv
129,130,Ingratax,París,13,50,323629,Global_2022_limpio.csv
130,131,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,30,15,323524,Global_2022_limpio.csv
131,132,Airbag,Por Mil Noches,69,129,322531,Global_2022_limpio.csv
132,133,"Maluma, Chencho Corleone",Nos Comemos Vivos,133,4,322471,Global_2022_limpio.csv
133,134,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),130,2,320509,Global_2022_limpio.csv
134,135,Zion & Lennox,Yo Voy (feat. Daddy Yankee),102,19,319705,Global_2022_limpio.csv
135,136,"Alan Gomez, Mesita",MESITA | Mission 05,21,35,319570,Global_2022_limpio.csv
136,137,WOS,MELÓN VINO,7,119,317566,Global_2022_limpio.csv
137,138,"MYA, TINI, Duki",2:50 Remix,1,55,315108,Global_2022_limpio.csv
138,139,Trueno,DANCE CRIP,3,33,314357,Global_2022_limpio.csv
139,140,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,58,233,312407,Global_2022_limpio.csv
140,141,"Aitana, Nicki Nicole",Formentera,126,28,311145,Global_2022_limpio.csv
141,142,"Migrantes, FABRO, Rei, Nico Valdi",Superclásico,123,6,310285,Global_2022_limpio.csv
142,143,No Te Va Gustar,A las Nueve,99,184,307574,Global_2022_limpio.csv
143,144,Lali,Disciplina,83,10,306591,Global_2022_limpio.csv
144,145,"Eladio Carrion, Nicki Nicole",Nota,78,7,303950,Global_2022_limpio.csv
145,146,"Camila Cabello, Maria Becerra",Hasta Los Dientes,80,13,303639,Global_2022_limpio.csv
146,147,"Alejo, Feid, ROBI",Pantysito,70,15,302824,Global_2022_limpio.csv
147,148,"TINI, Manuel Turizo",Maldita Foto,12,46,302581,Global_2022_limpio.csv
148,149,LIT killah,La Trampa es Ley,2,21,301971,Global_2022_limpio.csv
149,150,"Duki, Mora",Amor Bipolar,62,2,301295,Global_2022_limpio.csv
150,151,Intoxicados,Nunca quise,68,284,299765,Global_2022_limpio.csv
